v024,v025,teen_preg == 1TRUE,ci_l.teen_preg == 1TRUE,ci_u.teen_preg == 1TRUE,tpr_urban,tpr_rural
1,1,0.14,-0.03,0.3,13.56,24.25
2,1,0.08,-0.01,0.16,7.70,14.95
3,1,0.04,-0.04,0.12,3.70,9.46
4,1,0.09,-0.03,0.21,8.91,17.77
5,1,0.36,0.22,0.5,36.09,21.43
6,1,0.16,-0.04,0.36,16.03,23.36
7,1,0.18,0.11,0.25,18.05,0.00
8,1,0.23,0.04,0.41,22.58,25.45
9,1,0.14,0,0.28,13.74,29.33
10,1,0.22,0.09,0.35,21.80,41.80
11,1,0.08,-0.01,0.17,7.70,28.57
12,1,0.13,0.08,0.19,13.34,29.96
13,1,0.04,-0.04,0.12,4.35,21.56
14,1,0.07,-0.02,0.16,6.54,32.92
15,1,0.16,0.05,0.28,16.26,36.84
16,1,0.26,0.05,0.47,25.82,15.42
17,1,0.23,-0.01,0.47,23.28,20.26
18,1,0.18,0.09,0.27,18.11,19.46
19,1,0.16,0.03,0.29,15.79,17.30
20,1,0.1,-0.02,0.21,9.68,35.04
21,1,0.15,0.02,0.29,15.24,32.93
22,1,0.19,-0.02,0.39,18.57,29.01
23,1,0.34,0.22,0.46,34.42,34.45
24,1,0.07,-0.08,0.22,6.71,26.85
25,1,0.18,0.08,0.28,18.06,32.06
26,1,0.45,0.08,0.82,44.71,44.74
51,1,0.03,-0.03,0.08,2.51,4.37
52,1,0.22,0.11,0.33,22.32,12.10
53,1,0.01,-0.01,0.02,0.79,4.21
54,1,0.07,-0.01,0.15,6.99,4.04
55,1,0.04,0.01,0.08,4.22,6.50
