"","v024","teen_preg == 1TRUE"
"1",1,0.212264032149166
"2",2,0.130954767836465
"3",3,0.075984777101689
"4",4,0.156283526340377
"5",5,0.279831925839784
"6",6,0.197980308363169
"7",7,0.18053981469422
"8",8,0.25019227705157
"9",9,0.257027192428445
"10",10,0.371890820438214
"11",11,0.197047540547903
"12",12,0.211976921624281
"13",13,0.18838444978769
"14",14,0.291272681814476
"15",15,0.295760849749612
"16",16,0.171862007076605
"17",17,0.208228363831209
"18",18,0.192717400218384
"19",19,0.163488756634675
"20",20,0.31107606169207
"21",21,0.28781381691953
"22",22,0.254506620452851
"23",23,0.344424839702124
"24",24,0.245186598253247
"25",25,0.283713284328835
"26",26,0.447340054831383
"51",51,0.0423083224302541
"52",52,0.128689977126228
"53",53,0.0230856474146117
"54",54,0.0463360907540469
"55",55,0.0576015164697801
